timestamp,platform,category,slug,status,http_code,error
2026-07-18 05:29:10,clawhub,智能代理,ad-insight-hub,success,200,
2026-07-18 05:29:11,skillhub,智能代理,ad-insight-hub,success,200,
2026-07-18 05:29:22,clawhub,智能代理,agent-copilot-pro,success,200,
2026-07-18 05:29:24,skillhub,智能代理,agent-copilot-pro,success,200,
2026-07-18 05:29:35,clawhub,智能代理,aws-cloud-architect,success,200,
2026-07-18 05:29:36,skillhub,智能代理,aws-cloud-architect,success,200,
2026-07-18 05:29:47,clawhub,智能代理,aws-graph-agent,success,200,
2026-07-18 05:31:19,skillhub,智能代理,aws-graph-agent,success,200,
2026-07-18 05:31:31,clawhub,智能代理,azure-cloud-architect,success,200,
2026-07-18 05:31:32,skillhub,智能代理,azure-cloud-architect,success,200,
2026-07-18 05:31:44,clawhub,智能代理,decision-architect,success,200,
2026-07-18 05:31:45,skillhub,智能代理,decision-architect,success,200,
2026-07-18 05:31:57,clawhub,智能代理,evolution-engine,success,200,
2026-07-18 05:33:29,skillhub,智能代理,evolution-engine,conflict,409,{"success": false, "status": 409, "error": "slug 冲突: slug 'evolution-engine' 已被其他用户占用", "body": {"error": "slug 'evolution-engine' 已被其他用户占用"}}

[EXIT_CODE:1]

2026-07-18 05:33:41,clawhub,智能代理,knowledge-ontology,success,200,
2026-07-18 05:33:42,skillhub,智能代理,knowledge-ontology,success,200,
2026-07-18 05:33:53,clawhub,智能代理,llm-assistant-hub,success,200,
2026-07-18 05:33:54,skillhub,智能代理,llm-assistant-hub,success,200,
2026-07-18 05:34:05,clawhub,智能代理,localmemo-pro,success,200,
2026-07-18 05:35:38,skillhub,智能代理,localmemo-pro,success,200,
2026-07-18 05:35:49,clawhub,智能代理,longmemo-elite,success,200,
2026-07-18 05:35:50,skillhub,智能代理,longmemo-elite,success,200,
2026-07-18 05:36:02,clawhub,智能代理,memo-quickstart,success,200,
2026-07-18 05:36:03,skillhub,智能代理,memo-quickstart,success,200,
2026-07-18 05:36:14,clawhub,智能代理,memory-distiller,success,200,
2026-07-18 05:37:46,skillhub,智能代理,memory-distiller,conflict,409,{"success": false, "status": 409, "error": "slug 冲突: slug 'memory-distiller' 已被 clawhub 来源占用", "body": {"error": "slug 'memory-distiller' 已被 clawhub 来源占用"}}

[EXIT_CODE:1]

2026-07-18 05:37:57,clawhub,智能代理,memory-orchestrator,success,200,
2026-07-18 05:37:58,skillhub,智能代理,memory-orchestrator,conflict,409,{"success": false, "status": 409, "error": "slug 冲突: slug 'memory-orchestrator' 已被 clawhub 来源占用", "body": {"error": "slug 'memory-orchestrator' 已被 clawhub 来源占用"}}

[EXIT_CODE:1]

