id,slug,source,length,displayName,local_path
561,rss-fetcher,clawhub_download,26,RSSééå¨ | RSS Fetcher,d:\skills\clawhub-skills\downloaded\Research\rss-fetcher
115,azure-ai-transcription-py,clawhub_download,25,Azure Ai Transcription Py,d:\skills\clawhub-skills\downloaded\Creative\azure-ai-transcription-py
238,can,clawhub_download,25,CAN: Clock Address Naming,d:\skills\clawhub-skills\downloaded\Integrations\can
377,aws,clawhub_download,25,AWS | Amazon Web Services,d:\skills\clawhub-skills\downloaded\Operations\aws
392,agent-commercial-contract,clawhub_download,25,Agent Commercial Contract,d:\skills\clawhub-skills\downloaded\Other\agent-commercial-contract
521,agent-browser-stagehand,clawhub_download,25,Agent Browser - Stagehand,d:\skills\clawhub-skills\downloaded\Research\agent-browser-stagehand
584,go-security-vulnerability,clawhub_download,25,Go Security Vulnerability,d:\skills\clawhub-skills\downloaded\Security\go-security-vulnerability
33,browser-automation-cdp,clawhub_download,24,Browser Automation (CDP),d:\skills\clawhub-skills\downloaded\Automation\browser-automation-cdp
140,minimalist-design-system,clawhub_download,24,Minimalist Design System,d:\skills\clawhub-skills\downloaded\Creative\minimalist-design-system
142,music-generation-cellcog,clawhub_download,24,Music Generation Cellcog,d:\skills\clawhub-skills\downloaded\Creative\music-generation-cellcog
203,python,clawhub_download,24,Python Coding Guidelines,d:\skills\clawhub-skills\downloaded\Development\python
303,python-data-analysis,clawhub_download,24,Pythonæ°æ®åæå©æ,d:\skills\clawhub-skills\downloaded\Integrations\python-data-analysis
432,manage-liquidity,clawhub_download,24,Uniswap Manage Liquidity,d:\skills\clawhub-skills\downloaded\Other\manage-liquidity
3,aws-agentcore-langgraph,clawhub_download,23,aws-agentcore-langgraph,d:\skills\clawhub-skills\downloaded\Agents\aws-agentcore-langgraph
174,claude-tmux,clawhub_download,23,Claude Code within tmux,d:\skills\clawhub-skills\downloaded\Development\claude-tmux
181,docker-essentials-1-0-0,clawhub_download,23,Docker Essentials 1.0.0,d:\skills\clawhub-skills\downloaded\Development\docker-essentials-1-0-0
195,java-development-manual,clawhub_download,23,Java Development Manual,d:\skills\clawhub-skills\downloaded\Development\java-development-manual
214,vue-component-generator,clawhub_download,23,Vue Component Generator,d:\skills\clawhub-skills\downloaded\Development\vue-component-generator
222,finance-report-analyzer,clawhub_download,23,Finance Report Analyzer,d:\skills\clawhub-skills\downloaded\Finance\finance-report-analyzer
370,personal-health-manager,clawhub_download,23,personal health manager,d:\skills\clawhub-skills\downloaded\Lifestyle\personal-health-manager
421,go-linter-configuration,clawhub_download,23,Go Linter Configuration,d:\skills\clawhub-skills\downloaded\Other\go-linter-configuration
435,miniprogram-development,clawhub_download,23,Miniprogram Development,d:\skills\clawhub-skills\downloaded\Other\miniprogram-development
523,agent-knowledge,clawhub_download,23,Agent Knowledge Capture,d:\skills\clawhub-skills\downloaded\Research\agent-knowledge
14,neural-memory-enhanced,clawhub_download,22,Neural Memory Enhanced,d:\skills\clawhub-skills\downloaded\Agents\neural-memory-enhanced
35,cloud-infra-automation,clawhub_download,22,Cloud Infra Automation,d:\skills\clawhub-skills\downloaded\Automation\cloud-infra-automation
40,cron-worker-guardrails,clawhub_download,22,Cron Worker Guardrails,d:\skills\clawhub-skills\downloaded\Automation\cron-worker-guardrails
86,openclaw-telegram-chat,clawhub_download,22,Openclaw Telegram Chat,d:\skills\clawhub-skills\downloaded\Communication\openclaw-telegram-chat
94,social-media-scheduler,clawhub_download,22,Social Media Scheduler,d:\skills\clawhub-skills\downloaded\Communication\social-media-scheduler
119,chief-creative-officer,clawhub_download,22,Chief Creative Officer,d:\skills\clawhub-skills\downloaded\Creative\chief-creative-officer
218,accounting-and-finance,clawhub_download,22,accounting-and-finance,d:\skills\clawhub-skills\downloaded\Finance\accounting-and-finance
230,aic-dashboard,clawhub_download,22,AI Commander Dashboard,d:\skills\clawhub-skills\downloaded\Integrations\aic-dashboard
354,upstage-document-parse,clawhub_download,22,Upstage Document Parse,d:\skills\clawhub-skills\downloaded\Knowledge\upstage-document-parse
383,kubernetes,clawhub_download,22,Kubernetes Agent Swarm,d:\skills\clawhub-skills\downloaded\Operations\kubernetes
405,control-ikea-lightbulb,clawhub_download,22,Control Ikea Lightbulb,d:\skills\clawhub-skills\downloaded\Other\control-ikea-lightbulb
442,plugin-architecture,clawhub_download,22,Plugin UI Architecture,d:\skills\clawhub-skills\downloaded\Other\plugin-architecture
471,volcengine-network-dns,clawhub_download,22,Volcengine Network Dns,d:\skills\clawhub-skills\downloaded\Other\volcengine-network-dns
486,clawhub-jira-pat-skill,clawhub_download,22,Clawhub Jira Pat Skill,d:\skills\clawhub-skills\downloaded\Productivity\clawhub-jira-pat-skill
509,report-summary-builder,clawhub_download,22,Report Summary Builder,d:\skills\clawhub-skills\downloaded\Productivity\report-summary-builder
513,toby-productivity-helper-1,clawhub_download,22,Productivity Helper #1,d:\skills\clawhub-skills\downloaded\Productivity\toby-productivity-helper-1
514,toby-productivity-helper-4,clawhub_download,22,Productivity Helper #4,d:\skills\clawhub-skills\downloaded\Productivity\toby-productivity-helper-4
580,agentic-security-audit,clawhub_download,22,Agentic Security Audit,d:\skills\clawhub-skills\downloaded\Security\agentic-security-audit
8,elite-longterm-memory,clawhub_download,21,Elite Longterm Memory,d:\skills\clawhub-skills\downloaded\Agents\elite-longterm-memory
9,elite-longterm-memory-local,clawhub_download,21,Elite Longterm Memory,d:\skills\clawhub-skills\downloaded\Agents\elite-longterm-memory-local
51,office-automation-pro,clawhub_download,21,office-automation-pro,d:\skills\clawhub-skills\downloaded\Automation\office-automation-pro
69,bookmark-intelligence,clawhub_download,21,Bookmark Intelligence,d:\skills\clawhub-skills\downloaded\Communication\bookmark-intelligence
110,analyze-video-by-qwen,clawhub_download,21,analyze video by qwen,d:\skills\clawhub-skills\downloaded\Creative\analyze-video-by-qwen
116,azure-ai-voicelive-py,clawhub_download,21,Azure Ai Voicelive Py,d:\skills\clawhub-skills\downloaded\Creative\azure-ai-voicelive-py
127,elite-frontend-design,clawhub_download,21,Elite Frontend Design,d:\skills\clawhub-skills\downloaded\Creative\elite-frontend-design
170,baoyu-format-markdown,clawhub_download,21,Baoyu Format Markdown,d:\skills\clawhub-skills\downloaded\Development\baoyu-format-markdown
206,smart-model-switching,clawhub_download,21,Smart Model Switching,d:\skills\clawhub-skills\downloaded\Development\smart-model-switching
249,data-format-converter,clawhub_download,21,Data Format Converter,d:\skills\clawhub-skills\downloaded\Integrations\data-format-converter
263,expanso-json-validate,clawhub_download,21,Expanso json-validate,d:\skills\clawhub-skills\downloaded\Integrations\expanso-json-validate
337,generate-presentation,clawhub_download,21,Generate Presentation,d:\skills\clawhub-skills\downloaded\Knowledge\generate-presentation
365,game-developer-skill,clawhub_download,21,Claude_Game_Developer,d:\skills\clawhub-skills\downloaded\Lifestyle\game-developer-skill
394,anyone-proxy,clawhub_download,21,Anyone Procotol Proxy,d:\skills\clawhub-skills\downloaded\Other\anyone-proxy
400,chart-generator-2-0-0,clawhub_download,21,Chart Generator 2.0.0,d:\skills\clawhub-skills\downloaded\Other\chart-generator-2-0-0
501,personal-productivity,clawhub_download,21,Personal Productivity,d:\skills\clawhub-skills\downloaded\Productivity\personal-productivity
503,powerpoint-pptx-1-0-1,clawhub_download,21,Powerpoint Pptx 1.0.1,d:\skills\clawhub-skills\downloaded\Productivity\powerpoint-pptx-1-0-1
504,powerpoint-pptx-cn,clawhub_download,21,PowerPoint PPTXå¤ç,d:\skills\clawhub-skills\downloaded\Productivity\powerpoint-pptx-cn
529,browser-automation-v2,clawhub_download,21,Browser Automation V2,d:\skills\clawhub-skills\downloaded\Research\browser-automation-v2
569,stagehand-browser-cli,clawhub_download,21,Stagehand Browser CLI,d:\skills\clawhub-skills\downloaded\Research\stagehand-browser-cli
599,vulnerability-scanner,clawhub_download,21,Vulnerability Scanner,d:\skills\clawhub-skills\downloaded\Security\vulnerability-scanner
