timestamp,platform,source,slug,status,http_code,error
2026-07-20 13:00:14,skillhub,juejin,ai-artist-workstation,fail,0,"{""dryRun"": true, ""slug"": ""ai-artist-workstation"", ""version"": ""1.0.0""} "
2026-07-20 13:00:16,skillhub,juejin,ai-video-director,fail,0,"{""dryRun"": true, ""slug"": ""ai-video-studio-pro"", ""version"": ""1.0.0""} "
2026-07-20 13:00:18,skillhub,juejin,ai-writing-style-cloner,fail,0,"{""dryRun"": true, ""slug"": ""ai-writing-style-cloner"", ""version"": ""1.0.0""} "
2026-07-20 13:00:19,skillhub,juejin,content-refiner,fail,0,"{""dryRun"": true, ""slug"": ""content-refiner"", ""version"": ""1.0.0""} "
2026-07-20 13:00:20,skillhub,juejin,cyber-fortune-teller,fail,0,"{""dryRun"": true, ""slug"": ""fortune-reading-studio"", ""version"": ""1.0.0""} "
2026-07-20 13:00:22,skillhub,juejin,drama-hit-producer,fail,0,"{""dryRun"": true, ""slug"": ""drama-hit-producer"", ""version"": ""1.0.0""} "
2026-07-20 13:00:23,skillhub,juejin,ebook-factory,success,200,
2026-07-20 13:00:25,skillhub,juejin,ecommerce-pricing-strategist,fail,0,"{""dryRun"": true, ""slug"": ""ecommerce-pricing-strategist"", ""version"": ""1.0.0""} "
2026-07-20 13:00:27,skillhub,juejin,hook-retention-master,success,200,
2026-07-20 13:00:28,skillhub,juejin,intel-sentinel,fail,0,"{""dryRun"": true, ""slug"": ""intel-sentinel"", ""version"": ""1.0.0""} "
2026-07-20 13:00:30,skillhub,juejin,novel-autopilot,fail,0,"{""dryRun"": true, ""slug"": ""novel-autopilot"", ""version"": ""1.1.0""} "
2026-07-20 13:00:32,skillhub,juejin,poetry-craftsman,fail,0,"{""dryRun"": true, ""slug"": ""poetry-craftsman"", ""version"": ""1.1.0""} "
2026-07-20 13:00:34,skillhub,juejin,sales-copy-writer,fail,0,"{""dryRun"": true, ""slug"": ""sales-copy-writer"", ""version"": ""1.1.0""} "
2026-07-20 13:00:36,skillhub,juejin,seo-doctor,fail,0,"{""dryRun"": true, ""slug"": ""seo-doctor"", ""version"": ""1.1.0""} "
2026-07-20 13:00:37,skillhub,juejin,seo-rank-monopolizer,fail,0,"{""dryRun"": true, ""slug"": ""seo-rank-monopolizer"", ""version"": ""1.1.0""} "
